,Assembly Accession,Assembly BioProject Lineage Title,Assembly BioSample BioProject Title,Assembly BioSample Project name,Assembly BioSample Description Title,Assembly BioSample Breed,Assembly BioSample Host,Assembly BioSample Ecotype,Assembly BioSample Cultivar,Assembly BioSample Host disease,Assembly BioSample Isolation source,Assembly BioSample Source type,Assembly BioSample Tissue,Assembly BioSample Models,is_human,human_subcategory,species
170235,GCA_000466885.2,Lactobacillus crispatus 2029 Genome sequencing,,,General Sample for Lactobacillus crispatus,,homo sapiens,,,,genital tract of a healthy woman,,,Generic,True,female reproductive tract,100122
170245,GCA_001311685.1,NBRP : Genome information of microbial organism related human and environment,,NBRP : Genome information of microbial organism related human and environment,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus crispatus JCM 1185,,,,,,,,,MIGS.ba,True,unknown,100122
170231,GCA_014654865.1,Lactobacillus crispatus strain:BC5 Genome sequencing and assembly,,,Microbe sample from Lactobacillus crispatus,,homo sapiens,,,,vaginal sample,,,"Microbe, viral or environmental",True,female reproductive tract,100122
170087,GCA_900452495.1,NCTC_3000,,,NCTC13721,,human (woman),,,,vagina,,,Generic,True,female reproductive tract,100122
170267,GCF_000091765.1,Lactobacillus crispatus ST1 genome sequencing,,,BioSample entry for genome collection GCA_000091765,,,,,,,,,Generic,,,100122
170255,GCF_000160515.1,Reference genome for the Human Microbiome Project,,Lactobacillus crispatus JV-V01,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus crispatus JV-V01,,homo sapiens,,,,missing,,,MIGS.ba,True,unknown,100122
170258,GCF_000161915.2,Reference sequence for Human Microbiome Project,,Lactobacillus crispatus MV-1A-US,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus crispatus MV-1A-US,,homo sapiens,,,,missing,,,MIGS.ba,True,unknown,100122
170232,GCF_000162255.1,Reference genome for the Human Microbiome Project,,Lactobacillus crispatus 125-2-CHN,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus crispatus 125-2-CHN,,homo sapiens,,,,missing,,,MIGS.ba,True,unknown,100122
170261,GCF_000162315.1,Reference genome for the Human Microbiome Project,,Lactobacillus crispatus MV-3A-US,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus crispatus MV-3A-US,,homo sapiens,,,,missing,,,MIGS.ba,True,unknown,100122
170239,GCF_000165885.1,Reference strain for Human Microbiome Project,,Lactobacillus crispatus CTV-05,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus crispatus CTV-05,,homo sapiens,,,,missing,,,MIGS.ba,True,unknown,100122
170264,GCF_000176975.2,Reference genome for Human Microbiome Project,,Lactobacillus crispatus SJ-3C-US,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus crispatus SJ-3C-US,,homo sapiens,,,,missing,,,MIGS.ba,True,unknown,100122
170236,GCF_000177575.1,Reference Genome for Human Microbiome Project,,Lactobacillus crispatus 214-1,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus crispatus 214-1,,homo sapiens,,,,missing,,,MIGS.ba,True,unknown,100122
170247,GCF_000301115.1,Reference genome for the Human Microbiome Project,,Lactobacillus crispatus FB049-03,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus crispatus FB049-03,,homo sapiens,,,,,,,MIGS.ba,True,unknown,100122
170251,GCF_000301135.1,Reference genome for the Human Microbiome Project,,Lactobacillus crispatus FB077-07,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus crispatus FB077-07,,homo sapiens,,,,,,,MIGS.ba,True,unknown,100122
170246,GCF_000497065.1,Lactobacillus crispatus EM-LC1 Genome sequencing and assembly,,,Sample from Lactobacillus crispatus EM-LC1,,homo sapiens,,,,fecal sample,,,Generic,True,gastrointestinal,100122
170242,GCF_001434005.1,Lactobacillus Multispecies,,,Generic sample from Lactobacillus crispatus,,,,,,eye,,,Generic,,,100122
170243,GCF_001434005.1,"The Lactobacillus genus, a use case for Bactopia.",,,Generic sample from Lactobacillus crispatus,,,,,,eye,,,Generic,,,100122
170089,GCF_001541385.1,Lactobacillus crispatus Genome sequencing and assembly,,,Lactobacillus crispatus - Lc-vmc3,,homo sapiens,,,,vaginal,,,"Microbe, viral or environmental",True,female reproductive tract,100122
170091,GCF_001541405.1,Lactobacillus crispatus Genome sequencing and assembly,,,Lactobacillus crispatus - Lc-vmc4,,homo sapiens,,,,vaginal,,,"Microbe, viral or environmental",True,female reproductive tract,100122
170093,GCF_001541505.1,Lactobacillus crispatus Genome sequencing and assembly,,,Lactobacillus crispatus - Lc-vmc6,,homo sapiens,,,,vaginal,,,"Microbe, viral or environmental",True,female reproductive tract,100122
170095,GCF_001541515.1,Lactobacillus crispatus Genome sequencing and assembly,,,Lactobacillus crispatus - Lc-vmc5,,homo sapiens,,,,vaginal,,,"Microbe, viral or environmental",True,female reproductive tract,100122
170097,GCF_001541535.1,Lactobacillus crispatus Genome sequencing and assembly,,,Lactobacillus crispatus - Lc-vmc7,,homo sapiens,,,,vaginal,,,"Microbe, viral or environmental",True,female reproductive tract,100122
170099,GCF_001541585.1,Lactobacillus crispatus Genome sequencing and assembly,,,Lactobacillus crispatus - Lc-vmc8,,homo sapiens,,,,vaginal,,,"Microbe, viral or environmental",True,female reproductive tract,100122
170101,GCF_001546015.1,Lactobacillus crispatus Genome sequencing and assembly,,,Lactobacillus crispatus - Lc-vmc1,,homo sapiens,,,,vaginal,,,"Microbe, viral or environmental",True,female reproductive tract,100122
170103,GCF_001546025.1,Lactobacillus crispatus Genome sequencing and assembly,,,Lactobacillus crispatus - Lc-vmc2,,homo sapiens,,,,vaginal,,,"Microbe, viral or environmental",True,female reproductive tract,100122
170105,GCF_001563615.1,HMP reference genome,,,Sample from Lactobacillus crispatus,,homo sapiens,,,,urine,,,Generic,True,urine,100122
170109,GCF_001567095.1,Lactobacillus crispatus  genome sequencing,,,Microbe sample from Lactobacillus crispatus,,Gallus gallus,,,,,,,"Microbe, viral or environmental",,,100122
170110,GCF_001700475.1,Female Urinary Microbiota Genome Sequencing,,,Lactobacillus crispatus C037,,homo sapiens,,,,urine,,,"Microbe, viral or environmental",True,urine,100122
170112,GCF_001704465.1,Lactobacillus crispatus strain:C25 Genome sequencing and assembly,,,Microbe sample from Lactobacillus crispatus,,Gallus gallus,,,,,,,"Microbe, viral or environmental",,,100122
170113,GCF_002088015.1,ATCC bacterial species genome sequencing and assembly,,,Lactobacillus crispatus ATCC 33820,,,,,,,,,MIGS.ba,,,100122
170114,GCF_002088015.1,"The Lactobacillus genus, a use case for Bactopia.",,,Lactobacillus crispatus ATCC 33820,,,,,,,,,MIGS.ba,,,100122
170115,GCF_002218565.1,Lactobacillus spp. from commercial turkeys Genome sequencing and assembly,,,Microbe sample from Lactobacillus crispatus,,Meleagris gallopavo,,,,ileum,,,"Microbe, viral or environmental",,,100122
170116,GCF_002218615.1,Lactobacillus spp. from commercial turkeys Genome sequencing and assembly,,,Microbe sample from Lactobacillus crispatus,,Meleagris gallopavo,,,,ileum,,,"Microbe, viral or environmental",,,100122
170117,GCF_002218645.1,Lactobacillus spp. from commercial turkeys Genome sequencing and assembly,,,Microbe sample from Lactobacillus crispatus,,Meleagris gallopavo,,,,ileum,,,"Microbe, viral or environmental",,,100122
170118,GCF_002218655.1,Lactobacillus spp. from commercial turkeys Genome sequencing and assembly,,,Microbe sample from Lactobacillus crispatus,,Meleagris gallopavo,,,,ileum,,,"Microbe, viral or environmental",,,100122
170119,GCF_002218685.1,Lactobacillus spp. from commercial turkeys Genome sequencing and assembly,,,Microbe sample from Lactobacillus crispatus,,Meleagris gallopavo,,,,ileum,,,"Microbe, viral or environmental",,,100122
170120,GCF_002218695.1,Lactobacillus spp. from commercial turkeys Genome sequencing and assembly,,,Microbe sample from Lactobacillus crispatus,,Meleagris gallopavo,,,,ileum,,,"Microbe, viral or environmental",,,100122
170121,GCF_002218735.1,Lactobacillus spp. from commercial turkeys Genome sequencing and assembly,,,Microbe sample from Lactobacillus crispatus,,Meleagris gallopavo,,,,ileum,,,"Microbe, viral or environmental",,,100122
170122,GCF_002218765.1,Lactobacillus spp. from commercial turkeys Genome sequencing and assembly,,,Microbe sample from Lactobacillus crispatus,,Meleagris gallopavo,,,,ileum,,,"Microbe, viral or environmental",,,100122
170123,GCF_002218775.1,Lactobacillus spp. from commercial turkeys Genome sequencing and assembly,,,Microbe sample from Lactobacillus crispatus,,Meleagris gallopavo,,,,ileum,,,"Microbe, viral or environmental",,,100122
170124,GCF_002218805.1,Lactobacillus spp. from commercial turkeys Genome sequencing and assembly,,,Microbe sample from Lactobacillus crispatus,,Meleagris gallopavo,,,,ileum,,,"Microbe, viral or environmental",,,100122
170125,GCF_002218815.1,Lactobacillus spp. from commercial turkeys Genome sequencing and assembly,,,Microbe sample from Lactobacillus crispatus,,Meleagris gallopavo,,,,ileum,,,"Microbe, viral or environmental",,,100122
170126,GCF_002218845.1,Lactobacillus spp. from commercial turkeys Genome sequencing and assembly,,,Microbe sample from Lactobacillus crispatus,,Meleagris gallopavo,,,,ileum,,,"Microbe, viral or environmental",,,100122
170127,GCF_002218855.1,Lactobacillus spp. from commercial turkeys Genome sequencing and assembly,,,Microbe sample from Lactobacillus crispatus,,Meleagris gallopavo,,,,ileum,,,"Microbe, viral or environmental",,,100122
170128,GCF_002218885.1,Lactobacillus spp. from commercial turkeys Genome sequencing and assembly,,,Microbe sample from Lactobacillus crispatus,,Meleagris gallopavo,,,,ileum,,,"Microbe, viral or environmental",,,100122
170129,GCF_002218895.1,Lactobacillus spp. from commercial turkeys Genome sequencing and assembly,,,Microbe sample from Lactobacillus crispatus,,Meleagris gallopavo,,,,ileum,,,"Microbe, viral or environmental",,,100122
170130,GCF_002218925.1,Lactobacillus spp. from commercial turkeys Genome sequencing and assembly,,,Microbe sample from Lactobacillus crispatus,,Meleagris gallopavo,,,,ileum,,,"Microbe, viral or environmental",,,100122
170131,GCF_002218945.1,Lactobacillus spp. from commercial turkeys Genome sequencing and assembly,,,Microbe sample from Lactobacillus crispatus,,Meleagris gallopavo,,,,ileum,,,"Microbe, viral or environmental",,,100122
170132,GCF_002218965.1,Lactobacillus spp. from commercial turkeys Genome sequencing and assembly,,,Microbe sample from Lactobacillus crispatus,,Meleagris gallopavo,,,,ileum,,,"Microbe, viral or environmental",,,100122
170133,GCF_002218975.1,Lactobacillus spp. from commercial turkeys Genome sequencing and assembly,,,Microbe sample from Lactobacillus crispatus,,Meleagris gallopavo,,,,ileum,,,"Microbe, viral or environmental",,,100122
170134,GCF_002219005.1,Lactobacillus spp. from commercial turkeys Genome sequencing and assembly,,,Microbe sample from Lactobacillus crispatus,,Meleagris gallopavo,,,,ileum,,,"Microbe, viral or environmental",,,100122
170135,GCF_002219015.1,Lactobacillus spp. from commercial turkeys Genome sequencing and assembly,,,Microbe sample from Lactobacillus crispatus,,Meleagris gallopavo,,,,ileum,,,"Microbe, viral or environmental",,,100122
170136,GCF_002219045.1,Lactobacillus spp. from commercial turkeys Genome sequencing and assembly,,,Microbe sample from Lactobacillus crispatus,,Meleagris gallopavo,,,,ileum,,,"Microbe, viral or environmental",,,100122
170137,GCF_002219055.1,Lactobacillus spp. from commercial turkeys Genome sequencing and assembly,,,Microbe sample from Lactobacillus crispatus,,Meleagris gallopavo,,,,ileum,,,"Microbe, viral or environmental",,,100122
170138,GCF_002219085.1,Lactobacillus spp. from commercial turkeys Genome sequencing and assembly,,,Microbe sample from Lactobacillus crispatus,,Meleagris gallopavo,,,,ileum,,,"Microbe, viral or environmental",,,100122
170411,GCF_002553775.1,Lactobacillaceae Genome sequencing and assembly,,,Microbe sample from Lactobacillus sp. UMNPBX16,,Meleagris gallopavo,,,,ileum,,,"Microbe, viral or environmental",,,100122
170410,GCF_002553785.1,Lactobacillaceae Genome sequencing and assembly,,,Microbe sample from Lactobacillus sp. UMNPBX15,,Meleagris gallopavo,,,,ileum,,,"Microbe, viral or environmental",,,100122
170408,GCF_002553895.1,Lactobacillaceae Genome sequencing and assembly,,,Microbe sample from Lactobacillus sp. UMNPBX11,,Meleagris gallopavo,,,,ileum,,,"Microbe, viral or environmental",,,100122
170409,GCF_002553955.1,Lactobacillaceae Genome sequencing and assembly,,,Microbe sample from Lactobacillus sp. UMNPBX12,,Meleagris gallopavo,,,,ileum,,,"Microbe, viral or environmental",,,100122
170412,GCF_002554015.1,Lactobacillaceae Genome sequencing and assembly,,,Microbe sample from Lactobacillus sp. UMNPBX8,,Meleagris gallopavo,,,,ileum,,,"Microbe, viral or environmental",,,100122
170407,GCF_002554085.1,Lactobacillaceae Genome sequencing and assembly,,,Microbe sample from Lactobacillus sp. UMNPBX1,,Meleagris gallopavo,,,,ileum,,,"Microbe, viral or environmental",,,100122
170139,GCF_002861765.1,Female Urinary Microbiota Genome Sequencing,,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus crispatus,,homo sapiens,,,,,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-associated",True,urine,100122
170141,GCF_002861775.1,Female Urinary Microbiota Genome Sequencing,,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus crispatus,,homo sapiens,,,,,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-associated",True,urine,100122
170143,GCF_002861805.1,Female Urinary Microbiota Genome Sequencing,,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus crispatus,,homo sapiens,,,,,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-associated",True,urine,100122
170145,GCF_002861815.1,Female Urinary Microbiota Genome Sequencing,,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus crispatus,,homo sapiens,,,,,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-associated",True,urine,100122
170147,GCF_002863245.1,Female Urinary Microbiota Genome Sequencing,,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus crispatus,,homo sapiens,,,,,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-associated",True,urine,100122
170149,GCF_002863485.1,Female Urinary Microbiota Genome Sequencing,,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus crispatus,,homo sapiens,,,,,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-associated",True,urine,100122
170151,GCF_002863505.1,Female Urinary Microbiota Genome Sequencing,,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus crispatus,,homo sapiens,,,,,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-associated",True,urine,100122
170153,GCF_003795065.1,Lactobacillus crispatus strain:CO3MRSI1 Genome sequencing,,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus crispatus,,homo sapiens,,,,mid-vagina,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-vaginal",True,female reproductive tract,100122
170154,GCF_003971565.1,Lactobacillus crispatus AB70 Genome sequencing and assembly,,,Microbe sample from Lactobacillus crispatus,,homo sapiens,,,,korean vaginal fluid,,,"Microbe, viral or environmental",True,female reproductive tract,100122
170155,GCF_004103355.1,Lactobacillus crispatus strain:L49 Genome sequencing and assembly,,,Microbe sample from Lactobacillus crispatus,,homo sapiens,,,,vaginal tract,,,"Microbe, viral or environmental",True,female reproductive tract,100122
170156,GCF_004334905.1,Lactobacillus crispatus strain:CG-12 Genome sequencing and assembly,,,Microbe sample from Lactobacillus crispatus,,chicken,,,,feces,,,"Microbe, viral or environmental",,,100122
170157,GCF_004361075.1,Lactobacillus crispatus Genome sequencing and assembly,,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus crispatus,,homo sapiens,,,,,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-vaginal",True,female reproductive tract,100122
170158,GCF_004361095.1,Lactobacillus crispatus Genome sequencing and assembly,,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus crispatus,,homo sapiens,,,,,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-vaginal",True,female reproductive tract,100122
170159,GCF_004361115.1,Lactobacillus crispatus Genome sequencing and assembly,,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus crispatus,,homo sapiens,,,,,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-vaginal",True,female reproductive tract,100122
170160,GCF_004361125.1,Lactobacillus crispatus Genome sequencing and assembly,,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus crispatus,,homo sapiens,,,,,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-vaginal",True,female reproductive tract,100122
170161,GCF_004361175.1,Lactobacillus crispatus Genome sequencing and assembly,,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus crispatus,,homo sapiens,,,,,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-vaginal",True,female reproductive tract,100122
170162,GCF_004361185.1,Lactobacillus crispatus Genome sequencing and assembly,,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus crispatus,,homo sapiens,,,,,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-vaginal",True,female reproductive tract,100122
170163,GCF_004361195.1,Lactobacillus crispatus Genome sequencing and assembly,,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus crispatus,,homo sapiens,,,,,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-vaginal",True,female reproductive tract,100122
170164,GCF_004361205.1,Lactobacillus crispatus Genome sequencing and assembly,,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus crispatus,,homo sapiens,,,,,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-vaginal",True,female reproductive tract,100122
170165,GCF_004361215.1,Lactobacillus crispatus Genome sequencing and assembly,,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus crispatus,,homo sapiens,,,,,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-vaginal",True,female reproductive tract,100122
170166,GCF_004361245.1,Lactobacillus crispatus Genome sequencing and assembly,,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus crispatus,,homo sapiens,,,,,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-vaginal",True,female reproductive tract,100122
170167,GCF_004361265.1,Lactobacillus crispatus Genome sequencing and assembly,,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus crispatus,,homo sapiens,,,,,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-vaginal",True,female reproductive tract,100122
170168,GCF_004361295.1,Lactobacillus crispatus Genome sequencing and assembly,,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus crispatus,,homo sapiens,,,,,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-vaginal",True,female reproductive tract,100122
170169,GCF_004361315.1,Lactobacillus crispatus Genome sequencing and assembly,,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus crispatus,,homo sapiens,,,,,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-vaginal",True,female reproductive tract,100122
170170,GCF_004361345.1,Lactobacillus crispatus Genome sequencing and assembly,,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus crispatus,,homo sapiens,,,,,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-vaginal",True,female reproductive tract,100122
170171,GCF_004361355.1,Lactobacillus crispatus Genome sequencing and assembly,,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus crispatus,,homo sapiens,,,,,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-vaginal",True,female reproductive tract,100122
170172,GCF_004361375.1,Lactobacillus crispatus Genome sequencing and assembly,,,Lactobacillus crispatus str. RL02 Clinical isolate from vaginal microflora,,homo sapiens,,,,,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-vaginal",True,female reproductive tract,100122
170173,GCF_004361385.1,Lactobacillus crispatus Genome sequencing and assembly,,,Lactobacillus crispatus str. RL03 Clinical isolate from vaginal microflora,,homo sapiens,,,,,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-vaginal",True,female reproductive tract,100122
170174,GCF_004361395.1,Lactobacillus crispatus Genome sequencing and assembly,,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus crispatus,,homo sapiens,,,,,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-vaginal",True,female reproductive tract,100122
170175,GCF_004361445.1,Lactobacillus crispatus Genome sequencing and assembly,,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus crispatus,,homo sapiens,,,,,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-vaginal",True,female reproductive tract,100122
170176,GCF_004361455.1,Lactobacillus crispatus Genome sequencing and assembly,,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus crispatus,,homo sapiens,,,,,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-vaginal",True,female reproductive tract,100122
170177,GCF_004361465.1,Lactobacillus crispatus Genome sequencing and assembly,,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus crispatus,,homo sapiens,,,,,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-vaginal",True,female reproductive tract,100122
