,Assembly Accession,Assembly BioProject Lineage Title,Assembly BioSample BioProject Title,Assembly BioSample Project name,Assembly BioSample Description Title,Assembly BioSample Breed,Assembly BioSample Host,Assembly BioSample Ecotype,Assembly BioSample Cultivar,Assembly BioSample Host disease,Assembly BioSample Isolation source,Assembly BioSample Source type,Assembly BioSample Tissue,Assembly BioSample Models,is_human,human_subcategory,species
194431,GCF_000155935.2,Reference genome for the Human Microbiome Project,,Lactobacillus gasseri MV-22,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus gasseri MV-22,,homo sapiens,,,,vaginal tract,,,MIGS.ba,True,female reproductive tract,100460
194415,GCF_000175055.1,Reference genome for the Human Microbiome Project,,Lactobacillus gasseri 202-4,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus gasseri 202-4,,homo sapiens,,,,missing,,,MIGS.ba,True,unknown,100460
194434,GCF_000176995.2,Reference genome for Human Microbiome Project,,Lactobacillus gasseri SJ-9E-US,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus gasseri SJ-9E-US,,homo sapiens,,,,missing,,,MIGS.ba,True,unknown,100460
194437,GCF_000177035.2,Reference genome for Human Microbiome Project,,Lactobacillus gasseri SV-16A-US,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus gasseri SV-16A-US,,homo sapiens,,,,missing,,,MIGS.ba,True,unknown,100460
194418,GCF_000177415.1,Reference Genome for Human Microbiome Project,,Lactobacillus gasseri 224-1,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus gasseri 224-1,,homo sapiens,,,,missing,,,MIGS.ba,True,unknown,100460
194429,GCF_000283135.1,Complete Genome sequence of Lactobacillus gasseri CECT5714 isolated from human milk,,,Sample from Lactobacillus gasseri CECT 5714,,,,,,human milk,,,Generic,True,other,100460
194414,GCF_000439915.1,Lactobacillus gasseri 2016 Genome sequencing,,,Sample from Lactobacillus gasseri 2016,,homo sapiens,,,,vaginal tract of a healthy female,,,Generic,True,female reproductive tract,100460
194424,GCF_000615125.1,NBRP : Genome information of microbial organism related human and environment,,,Whole genome analysis of Lactobacillus gasseri JCM 1131,,,,,,,,,Generic,True,unknown,100460
194375,GCF_001063045.1,Bacterial isolates from intensive care units,,,Pathogen: clinical or host-associated sample from Lactobacillus gasseri,,homo sapiens,,,missing,missing,,,Pathogen.cl,True,unknown,100460
194377,GCF_001063065.1,Bacterial isolates from intensive care units,,,Pathogen: clinical or host-associated sample from Lactobacillus gasseri,,homo sapiens,,,missing,missing,,,Pathogen.cl,True,unknown,100460
194379,GCF_001064985.1,Bacterial isolates from intensive care units,,,Pathogen: clinical or host-associated sample from Lactobacillus gasseri,,homo sapiens,,,missing,missing,,,Pathogen.cl,True,unknown,100460
194381,GCF_001066235.1,Bacterial isolates from intensive care units,,,Pathogen: clinical or host-associated sample from Lactobacillus gasseri,,homo sapiens,,,missing,missing,,,Pathogen.cl,True,unknown,100460
194383,GCF_001546525.1,HMP reference genome,,,Sample from Lactobacillus gasseri,,homo sapiens,,,,urine,,,Generic,True,urine,100460
194430,GCF_002287905.1,Lactobacillus gasseri DSM 14869 Genome sequencing,,,Sample from Lactobacillus gasseri DSM 14869,,,,,,,,,Generic,,,100460
194387,GCF_002863425.1,Female Urinary Microbiota Genome Sequencing,,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus gasseri,,homo sapiens,,,,,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-associated",True,urine,100460
194389,GCF_002863445.1,Female Urinary Microbiota Genome Sequencing,,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus gasseri,,homo sapiens,,,,,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-associated",True,urine,100460
194391,GCF_002940965.1,Female Urinary Microbiota Genome Sequencing,,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus gasseri,,homo sapiens,,,,catheter,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-associated",True,urine,100460
194393,GCF_003307315.1,Genome project of Lactobacillus paragasseri and related species,,Genome project of Lactobacillus gasseri strains,Lactobacillus gasseri JCM 1025,,not applicable,,,,,,,MIGS.ba.human-associated,True,unknown,100460
194395,GCF_003437055.1,Genome Sequencing and Assembly for Cultivated Species of the Human Gut Microbiota,,,Microbe sample from Lactobacillus gasseri,,homo sapiens,,,,feces,,,"Microbe, viral or environmental",True,gastrointestinal,100460
194396,GCF_005844525.1,Characterization of fecal IgA levels of several commensal Bacteroides ovatus strains,,,Microbe sample from Lactobacillus gasseri,,homo sapiens,,,,stool,,,"Microbe, viral or environmental",True,gastrointestinal,100460
194397,GCF_006981945.1,Lactobacillus gasseri strain:7171 Genome sequencing and assembly,,,Microbe sample from Lactobacillus gasseri,,,,,,missing,,,"Microbe, viral or environmental",,,100460
194398,GCF_007785965.1,Female Urinary Microbiota Genome Sequencing,,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus gasseri,,homo sapiens,,,,,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-associated",True,urine,100460
194400,GCF_007785975.1,Female Urinary Microbiota Genome Sequencing,,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus gasseri,,homo sapiens,,,,,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-associated",True,urine,100460
194402,GCF_007785995.1,Female Urinary Microbiota Genome Sequencing,,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus gasseri,,homo sapiens,,,,,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-associated",True,urine,100460
194404,GCF_007786065.1,Female Urinary Microbiota Genome Sequencing,,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus gasseri,,homo sapiens,,,,,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-associated",True,urine,100460
194406,GCF_007786195.1,Female Urinary Microbiota Genome Sequencing,,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus gasseri,,homo sapiens,,,,,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-associated",True,urine,100460
194425,GCF_008868295.1,Sequencing ESKAPE pathogens and Clostridium difficile under different scenarios,,,Pathogen: environmental/food/other sample from Lactobacillus gasseri ATCC 33323 = JCM 1131,,not applicable,,,not applicable,not applicable,,,Pathogen.env,,,100460
194426,GCF_008868295.1,Sequencing ESKAPE pathogens and Clostridium difficile under different scenarios,,,Pathogen: environmental/food/other sample from Lactobacillus gasseri ATCC 33323 = JCM 1131,,not applicable,,,not applicable,not applicable,,,Pathogen.env,,,100460
194427,GCF_008868295.1,"The Lactobacillus genus, a use case for Bactopia.",,,Pathogen: environmental/food/other sample from Lactobacillus gasseri ATCC 33323 = JCM 1131,,not applicable,,,not applicable,not applicable,,,Pathogen.env,,,100460
194428,GCF_008868295.1,"The Lactobacillus genus, a use case for Bactopia.",,,Pathogen: environmental/food/other sample from Lactobacillus gasseri ATCC 33323 = JCM 1131,,not applicable,,,not applicable,not applicable,,,Pathogen.env,,,100460
194408,GCF_008868535.1,Genome sequencing and assembly of bacteria isolated from different environments,,,Microbe sample from Lactobacillus gasseri,,homo sapiens,,,,feces,,,"Microbe, viral or environmental",True,gastrointestinal,100460
194409,GCF_900452355.1,NCTC_3000,,,NCTC13722,,homo sapiens,,,,not available: to be reported later,,,Generic,True,unknown,100460
194410,GCF_902399865.1,A unified sequence catalogue of the human gut microbiome,,Human gut genomes,Human gut genome,,,,,,human gut,,,Generic,True,gastrointestinal,100460
195607,GCF_000149065.1,Reference genome for Human Microbiome Project,,Lactobacillus iners LactinV 11V1-d,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus iners LactinV 11V1-d,,homo sapiens,,,,missing,,,MIGS.ba,True,unknown,100505
195604,GCF_000149085.1,Reference genome for Human Microbiome Project,,Lactobacillus iners LactinV 09V1-c,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus iners LactinV 09V1-c,,homo sapiens,,,,missing,,,MIGS.ba,True,unknown,100505
195601,GCF_000149105.1,Reference genome for Human Microbiome Project,,Lactobacillus iners LactinV 03V1-b,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus iners LactinV 03V1-b,,homo sapiens,,,,missing,,,MIGS.ba,True,unknown,100505
195598,GCF_000149125.1,Reference genome for Human Microbiome Project,,Lactobacillus iners LactinV 01V1-a,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus iners LactinV 01V1-a,,homo sapiens,,,,missing,,,MIGS.ba,True,unknown,100505
195625,GCF_000149145.1,Reference genome for Human Microbiome Project,,Lactobacillus iners SPIN 2503V10-D,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus iners SPIN 2503V10-D,,homo sapiens,,,,missing,,,MIGS.ba,True,unknown,100505
195593,GCF_000160875.1,Reference genome for the Human Microbiome Project,,Lactobacillus iners DSM 13335,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus iners DSM 13335,,homo sapiens,,,,missing,,,MIGS.ba,True,unknown,100505
195589,GCF_000177755.1,Lactobacillus iners AB-1 genome sequencing project,,,Sample from Lactobacillus iners AB-1,,,,,,,,,Generic,,,100505
195613,GCF_000179935.1,Reference genome for Human Microbiome Project,,Lactobacillus iners LEAF 2053A-b,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus iners LEAF 2053A-b,,homo sapiens,,,,missing,,,MIGS.ba,True,unknown,100505
195610,GCF_000179955.1,Reference genome for Human Microbiome Project,,Lactobacillus iners LEAF 2052A-d,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus iners LEAF 2052A-d,,homo sapiens,,,,missing,,,MIGS.ba,True,unknown,100505
195616,GCF_000179975.1,Reference genome for Human Microbiome Project,,Lactobacillus iners LEAF 2062A-h1,MIGS Cultured Bacterial/Archaeal sample from HMP164 Lactobacillus iners LEAF 2062A-h1,,homo sapiens,,,,missing,,,MIGS.ba,True,unknown,100505
195619,GCF_000179995.1,Reference genome for Human Microbiome Project,,Lactobacillus iners LEAF 3008A-a,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus iners LEAF 3008A-a,,homo sapiens,,,,missing,,,MIGS.ba,True,unknown,100505
195590,GCF_000185405.1,Reference genome for the Human Microbiome Project,,Lactobacillus iners ATCC 55195,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus iners ATCC 55195,,homo sapiens,,,,"urogenital tract, vaginal",,,MIGS.ba,True,female reproductive tract,100505
195628,GCF_000191685.1,Reference genome for Human Microbiome Project,,Lactobacillus iners UPII 143-D,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus iners UPII 143-D,,homo sapiens,,,,,,,MIGS.ba,True,unknown,100505
195631,GCF_000191705.1,Reference genome for Human Microbiome Project,,Lactobacillus iners UPII 60-B,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus iners UPII 60-B,,homo sapiens,,,,,,,MIGS.ba,True,unknown,100505
195622,GCF_000204435.1,Reference genome for Human Microbiome Project,,Lactobacillus iners SPIN 1401G,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus iners SPIN 1401G,,homo sapiens,,,,,,,MIGS.ba,True,unknown,100505
195570,GCF_000227195.1,Reference Genome for Human Microbiome Project,,Lactobacillus sp. 7_1_47FAA,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus iners,,homo sapiens,,,,missing,,,MIGS.ba,True,unknown,100505
195596,GCF_001435015.1,Lactobacillus Multispecies,,,Generic sample from Lactobacillus iners,,homo sapiens,,,,urine,,,Generic,True,urine,100505
195573,GCF_002871595.1,Female Urinary Microbiota Genome Sequencing,,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus iners,,homo sapiens,,,,catheter,,,"MIGS.ba,MIGS/MIMS/MIMARKS.host-associated",True,urine,100505
195575,GCF_002884695.1,Female Urinary Microbiota Genome Sequencing,,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus iners,,homo sapiens,,,,catheter,,,"MIGS.ba,MIGS/MIMS/MIMARKS.host-associated",True,urine,100505
195577,GCF_002884705.1,Female Urinary Microbiota Genome Sequencing,,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus iners,,homo sapiens,,,,catheter,,,"MIGS.ba,MIGS/MIMS/MIMARKS.host-associated",True,urine,100505
195579,GCF_002892385.1,Lactobacillus iners strain:KA00186 Genome sequencing and assembly,,,Microbe sample from Lactobacillus iners,,homo sapiens,,,,vagina,,,"Microbe, viral or environmental",True,female reproductive tract,100505
195580,GCF_009556455.1,Lactobacillus iners Genome sequencing and assembly,,,Microbe sample from Lactobacillus iners,,homo sapiens,,,,urine,,,"Microbe, viral or environmental",True,urine,100505
195581,GCF_009857205.1,Lactobacillus iners strain:Indica1 Genome sequencing and assembly,,,Microbe sample from Lactobacillus iners,,homo sapiens,,,,high vaginal swabs,,,"Microbe, viral or environmental",True,female reproductive tract,100505
195582,GCF_010748955.1,Lactobacillus iners strain:KY Genome sequencing and assembly,,,Lactobacillus iners KY from Vaginal flora of Korean Woman,,homo sapiens,,,,,,,"Microbe, viral or environmental",True,unknown,100505
195583,GCF_011058695.1,Lactobacillus iners genome sequencing,,,Microbe sample from Lactobacillus iners,,homo sapiens,,,,mid-vagina,,,"Microbe, viral or environmental",True,female reproductive tract,100505
195584,GCF_011058715.1,Lactobacillus iners genome sequencing,,,Microbe sample from Lactobacillus iners,,homo sapiens,,,,mid-vagina,,,"Microbe, viral or environmental",True,female reproductive tract,100505
195585,GCF_011058735.1,Lactobacillus iners genome sequencing,,,Microbe sample from Lactobacillus iners,,homo sapiens,,,,mid-vagina,,,"Microbe, viral or environmental",True,female reproductive tract,100505
195586,GCF_011058755.1,Lactobacillus iners genome sequencing,,,Microbe sample from Lactobacillus iners,,homo sapiens,,,,mid-vagina,,,"Microbe, viral or environmental",True,female reproductive tract,100505
195569,GCF_011058775.1,Lactobacillus iners genome sequencing,,,Microbe sample from Lactobacillus iners,,homo sapiens,,,,mid-vagina,,,"Microbe, viral or environmental",True,female reproductive tract,100505
195587,GCF_011058795.1,Lactobacillus iners genome sequencing,,,Microbe sample from Lactobacillus iners,,homo sapiens,,,,mid-vagina,,,"Microbe, viral or environmental",True,female reproductive tract,100505
195588,GCF_902374445.1,A unified sequence catalogue of the human gut microbiome,,Human gut genomes,Human gut genome,,,,,,human gut,,,Generic,True,gastrointestinal,100505
196683,GCF_000155915.2,reference genome for the Human Microbiome Project,,Lactobacillus jensenii 1153,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus jensenii 1153,,homo sapiens,,,,missing,,,MIGS.ba,True,unknown,100515
196694,GCF_000162335.1,Reference genome for the Human Microbiome Project,,Lactobacillus jensenii SJ-7A-US,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus jensenii SJ-7A-US,,homo sapiens,,,,missing,,,MIGS.ba,True,unknown,100515
196686,GCF_000175035.1,reference genome for the Human Microbiome Project,,Lactobacillus jensenii 269-3,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus jensenii 269-3,,homo sapiens,,,,missing,,,MIGS.ba,True,unknown,100515
196693,GCF_000466805.1,Lactobacillus jensenii MD IIE-70(2) Genome sequencing and assembly,,,General Sample for Lactobacillus jensenii,,homo sapiens,,,,geniral tract of a healthy woman,,,Generic,True,female reproductive tract,100515
196691,GCF_001012665.1,Lactobacillus jensenii Genome sequencing and assembly,,,Generic sample from Lactobacillus jensenii,,,,,,,,,Generic,,,100515
196692,GCF_001012685.1,Lactobacillus jensenii Genome sequencing and assembly,,,Generic sample from Lactobacillus jensenii,,,,,,,,,Generic,,,100515
196689,GCF_001436455.1,Lactobacillus Multispecies,,,Generic sample from Lactobacillus jensenii,,homo sapiens,,,,vaginal discharge,,,Generic,True,female reproductive tract,100515
196643,GCF_001936235.1,Lactobacillus jensenii strain:SNUV360 Genome sequencing and assembly,,,Complete genome of Lactobacillus jensenii SNUV360,,homo sapiens,,,,vaginal environment,,,"Microbe, viral or environmental",True,female reproductive tract,100515
196644,GCF_002848045.1,Female Urinary Microbiota Genome Sequencing,,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus jensenii,,homo sapiens,,,,,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-associated",True,urine,100515
196646,GCF_002863405.1,Female Urinary Microbiota Genome Sequencing,,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus jensenii,,homo sapiens,,,,,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-associated",True,urine,100515
196648,GCF_007785825.1,Female Urinary Microbiota Genome Sequencing,,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus jensenii,,homo sapiens,,,,,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-associated",True,urine,100515
196650,GCF_007785915.1,Female Urinary Microbiota Genome Sequencing,,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus jensenii,,homo sapiens,,,,,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-associated",True,urine,100515
196652,GCF_007785935.1,Female Urinary Microbiota Genome Sequencing,,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus jensenii,,homo sapiens,,,,,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-associated",True,urine,100515
196654,GCF_007786035.1,Female Urinary Microbiota Genome Sequencing,,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus jensenii,,homo sapiens,,,,,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-associated",True,urine,100515
196656,GCF_007786085.1,Female Urinary Microbiota Genome Sequencing,,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus jensenii,,homo sapiens,,,,,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-associated",True,urine,100515
196658,GCF_007786135.1,Female Urinary Microbiota Genome Sequencing,,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus jensenii,,homo sapiens,,,,,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-associated",True,urine,100515
196660,GCF_007786145.1,Female Urinary Microbiota Genome Sequencing,,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus jensenii,,homo sapiens,,,,,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-associated",True,urine,100515
196662,GCF_007786155.1,Female Urinary Microbiota Genome Sequencing,,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus jensenii,,homo sapiens,,,,,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-associated",True,urine,100515
196664,GCF_008726325.1,Female Urinary Microbiota Genome Sequencing,,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus jensenii,,homo sapiens,,,,,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-associated",True,urine,100515
196666,GCF_008726555.1,Female Urinary Microbiota Genome Sequencing,,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus jensenii,,homo sapiens,,,,,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-associated",True,urine,100515
196668,GCF_008726585.1,Female Urinary Microbiota Genome Sequencing,,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus jensenii,,homo sapiens,,,,,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-associated",True,urine,100515
196670,GCF_008727025.1,Female Urinary Microbiota Genome Sequencing,,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus jensenii,,homo sapiens,,,,,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-associated",True,urine,100515
196672,GCF_008727085.1,Female Urinary Microbiota Genome Sequencing,,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus jensenii,,homo sapiens,,,,,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-associated",True,urine,100515
196674,GCF_011029225.1,Vaginal Lactic Acid Bacteria Genome sequencing and assembly,,,Microbe sample from Lactobacillus jensenii,,homo sapiens,,,,vagina,,,"Microbe, viral or environmental",True,female reproductive tract,100515
196675,GCF_011714625.1,Lactobacillus jensenii strain:M166 Genome sequencing and assembly,,,Microbe sample from Lactobacillus jensenii,,homo sapiens,,,,fetal intestine,,,"Microbe, viral or environmental",True,gastrointestinal,100515
196676,GCF_011714655.1,Lactobacillus jensenii strain:M167 Genome sequencing and assembly,,,Microbe sample from Lactobacillus jensenii,,homo sapiens,,,,fetal intestine,,,"Microbe, viral or environmental",True,gastrointestinal,100515
196677,GCF_012029675.1,Female Urinary Microbiota Genome Sequencing,,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus jensenii,,homo sapiens,,,,,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-associated",True,urine,100515
196679,GCF_012029775.1,Female Urinary Microbiota Genome Sequencing,,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus jensenii,,homo sapiens,,,,,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-associated",True,urine,100515
196681,GCF_012030285.1,Female Urinary Microbiota Genome Sequencing,,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus jensenii,,homo sapiens,,,,,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-associated",True,urine,100515
235406,GCF_000159235.2,Reference genome for the Human Microbiome Project,,Atopobium vaginae DSM 15829,MIGS Cultured Bacterial/Archaeal sample from Atopobium vaginae DSM 15829,,homo sapiens,,,,vagina,,,MIGS.ba,True,female reproductive tract,103895
235409,GCF_000178335.1,Atopobium vaginae DSM 15829 genome sequencing,,,Sample from Fannyhessea vaginae DSM 15829,,,,,,,,,Generic,,,103895
235401,GCF_001049775.1,Fannyhessea vaginae strain:44061 Genome sequencing and assembly,,,Microbe sample from Fannyhessea vaginae,,homo sapiens,,,,vaginal specimen,,,"Microbe, viral or environmental",True,female reproductive tract,103895
235402,GCF_001562845.1,HMP reference genome,,,Sample from Fannyhessea vaginae,,homo sapiens,,,,vagina,,,Generic,True,female reproductive tract,103895
235405,GCF_900445305.1,NCTC_3000,,,NCTC13935,,homo sapiens,,,,vagina,,,Generic,True,female reproductive tract,103895
