species_id	median_abundance	mean_abundance	median_coverage	mean_depth	sample_counts
100505	0.002	0.214	0.614	32.910	184
147774	0.000	0.000	0.000	0.000	0
147723	0.000	0.000	0.000	0.304	2
147571	0.000	0.000	0.000	0.000	0
147239	0.000	0.000	0.000	0.000	0
147135	0.000	0.000	0.000	0.000	0
147053	0.000	0.000	0.000	0.005	1
146459	0.000	0.000	0.000	0.000	0
146291	0.000	0.000	0.000	0.000	0
146155	0.000	0.000	0.000	0.000	0
146014	0.000	0.000	0.000	0.014	3
145795	0.000	0.000	0.000	0.163	8
145447	0.000	0.000	0.000	0.001	0
145265	0.000	0.000	0.000	0.000	0
145223	0.000	0.000	0.000	0.000	0
144594	0.000	0.000	0.000	0.037	4
143281	0.000	0.000	0.000	0.000	0
143170	0.000	0.000	0.000	0.034	1
142682	0.000	0.000	0.000	0.000	0
142674	0.000	0.000	0.000	0.000	0
142489	0.000	0.000	0.000	0.488	13
141632	0.000	0.000	0.000	0.004	1
141205	0.000	0.000	0.000	0.000	0
140985	0.000	0.000	0.000	0.367	8
140810	0.000	0.000	0.000	0.000	0
140784	0.000	0.000	0.000	0.000	0
140737	0.000	0.000	0.000	0.000	0
140561	0.000	0.000	0.000	0.000	0
140399	0.000	0.001	0.000	0.450	26
140058	0.000	0.000	0.000	0.000	0
139945	0.000	0.002	0.000	1.135	34
139765	0.000	0.000	0.000	0.000	0
139731	0.000	0.000	0.000	0.000	0
139389	0.000	0.000	0.000	0.011	1
139218	0.000	0.000	0.000	0.005	1
139131	0.000	0.000	0.000	0.000	0
138366	0.000	0.004	0.000	10.311	7
138236	0.000	0.000	0.000	0.000	0
138050	0.000	0.002	0.000	1.915	75
137430	0.000	0.000	0.000	0.015	1
137373	0.000	0.000	0.000	0.001	0
136850	0.000	0.000	0.000	0.000	0
136767	0.000	0.000	0.000	0.000	0
136629	0.000	0.000	0.000	0.000	0
136462	0.000	0.000	0.000	0.085	6
136052	0.000	0.000	0.000	0.047	2
135435	0.000	0.004	0.000	7.291	57
135355	0.000	0.000	0.000	0.000	0
135251	0.000	0.000	0.000	0.000	0
135243	0.000	0.000	0.000	0.000	0
135157	0.000	0.000	0.000	0.000	0
135151	0.000	0.000	0.000	0.000	0
135041	0.000	0.000	0.000	0.002	1
134801	0.000	0.000	0.000	0.000	0
134763	0.000	0.000	0.000	0.076	9
134675	0.000	0.001	0.000	0.041	2
134454	0.000	0.000	0.000	0.000	0
133782	0.000	0.000	0.000	0.000	0
133724	0.000	0.000	0.000	0.000	0
133369	0.000	0.000	0.000	0.042	3
132945	0.000	0.000	0.000	0.000	0
132922	0.000	0.001	0.000	0.758	8
132868	0.000	0.000	0.000	0.000	0
132856	0.000	0.000	0.000	0.440	30
132473	0.000	0.000	0.000	0.000	0
132226	0.000	0.000	0.000	0.001	0
132038	0.000	0.000	0.000	0.001	0
131796	0.000	0.000	0.000	0.000	0
131178	0.000	0.022	0.000	15.815	74
130890	0.000	0.000	0.000	0.000	0
130881	0.000	0.000	0.000	0.000	0
130725	0.000	0.000	0.000	0.005	1
130653	0.000	0.000	0.000	0.000	0
130618	0.000	0.000	0.000	0.051	11
130564	0.000	0.000	0.000	0.001	0
130288	0.000	0.000	0.000	0.000	0
130022	0.000	0.000	0.000	0.008	2
129729	0.000	0.001	0.000	0.010	1
129443	0.000	0.000	0.000	0.008	1
129348	0.000	0.000	0.000	0.005	1
129013	0.000	0.000	0.000	0.000	0
128743	0.000	0.000	0.000	0.001	0
127885	0.000	0.001	0.000	1.633	27
127299	0.000	0.000	0.000	0.006	1
127266	0.000	0.001	0.000	0.065	10
126465	0.000	0.000	0.000	0.000	0
126371	0.000	0.000	0.000	0.000	0
126357	0.000	0.000	0.000	0.000	0
126123	0.000	0.008	0.000	15.587	44
125792	0.000	0.000	0.000	0.000	0
125435	0.000	0.001	0.000	1.790	11
125205	0.000	0.000	0.000	0.000	0
125071	0.000	0.000	0.000	0.000	0
125069	0.000	0.000	0.000	0.000	0
125034	0.000	0.000	0.000	0.000	0
124911	0.000	0.000	0.000	0.002	0
124498	0.000	0.000	0.000	0.001	0
124449	0.000	0.000	0.000	0.018	3
123654	0.000	0.000	0.000	0.000	0
123092	0.000	0.000	0.000	0.001	0
122958	0.000	0.000	0.000	0.000	0
122820	0.000	0.000	0.000	0.049	4
122433	0.000	0.000	0.000	0.000	0
122419	0.000	0.000	0.000	0.000	0
122384	0.000	0.000	0.000	0.000	0
122158	0.000	0.000	0.000	0.000	0
122148	0.000	0.001	0.000	0.000	0
121860	0.000	0.000	0.000	0.009	2
121334	0.000	0.000	0.000	0.006	1
121303	0.000	0.000	0.000	0.000	0
121048	0.000	0.000	0.000	0.000	0
120559	0.000	0.000	0.000	0.000	0
120546	0.000	0.000	0.000	0.000	0
120279	0.000	0.000	0.000	0.000	0
120041	0.000	0.000	0.000	0.001	0
119856	0.000	0.000	0.000	0.000	0
119719	0.000	0.000	0.000	0.061	11
119649	0.000	0.000	0.000	0.205	9
119552	0.000	0.000	0.000	0.002	1
119519	0.000	0.000	0.000	0.001	0
119461	0.000	0.000	0.000	0.000	0
119108	0.000	0.000	0.000	0.073	10
118985	0.000	0.000	0.000	0.000	0
118842	0.000	0.000	0.000	0.000	0
118753	0.000	0.000	0.000	0.473	13
118632	0.000	0.000	0.000	0.000	0
118620	0.000	0.000	0.000	0.005	1
118286	0.000	0.000	0.000	0.000	0
118160	0.000	0.000	0.000	0.000	0
118092	0.000	0.000	0.000	0.003	0
117108	0.000	0.000	0.000	0.006	1
117077	0.000	0.000	0.000	0.000	0
116932	0.000	0.000	0.000	0.000	0
116859	0.000	0.000	0.000	0.000	0
116670	0.000	0.000	0.000	0.000	0
116645	0.000	0.000	0.000	0.004	1
116588	0.000	0.000	0.000	0.000	0
116510	0.000	0.000	0.000	0.058	7
116436	0.000	0.000	0.000	0.756	25
116386	0.000	0.000	0.000	0.005	1
116332	0.000	0.000	0.000	0.000	0
116235	0.000	0.000	0.000	0.013	4
116165	0.000	0.000	0.000	0.053	3
116131	0.000	0.000	0.000	0.001	0
116122	0.000	0.000	0.000	0.000	0
115978	0.000	0.000	0.000	0.002	0
115785	0.000	0.001	0.000	0.000	0
115767	0.000	0.000	0.000	0.000	0
115586	0.000	0.000	0.000	0.002	0
115560	0.000	0.000	0.000	0.079	3
115546	0.000	0.000	0.000	0.068	6
115208	0.000	0.000	0.000	0.001	0
115188	0.000	0.003	0.000	5.748	27
115051	0.000	0.000	0.000	0.000	0
114897	0.000	0.000	0.000	0.000	0
114891	0.000	0.001	0.000	0.412	32
114873	0.000	0.000	0.000	0.011	1
114367	0.000	0.000	0.000	0.000	0
114355	0.000	0.000	0.000	0.000	0
114276	0.000	0.000	0.000	0.002	1
114046	0.000	0.000	0.000	0.000	0
113930	0.000	0.000	0.000	0.000	0
113662	0.000	0.000	0.000	0.000	0
113590	0.000	0.000	0.000	0.000	0
113559	0.000	0.000	0.000	0.000	0
113307	0.000	0.000	0.000	0.000	0
113297	0.000	0.000	0.000	0.010	1
113291	0.000	0.000	0.000	0.000	0
113275	0.000	0.000	0.000	0.055	2
113110	0.000	0.000	0.000	0.001	0
113083	0.000	0.000	0.000	0.000	0
113038	0.000	0.000	0.000	0.000	0
113019	0.000	0.000	0.000	0.011	2
112958	0.000	0.000	0.000	0.000	0
112798	0.000	0.000	0.000	0.000	0
112777	0.000	0.000	0.000	0.052	7
112764	0.000	0.000	0.000	0.000	0
112609	0.000	0.000	0.000	0.018	5
112576	0.000	0.000	0.000	0.000	0
112529	0.000	0.000	0.000	0.000	0
112379	0.000	0.000	0.000	0.006	1
112096	0.000	0.000	0.000	0.010	1
111985	0.000	0.000	0.000	0.002	0
111925	0.000	0.000	0.000	0.001	0
111752	0.000	0.000	0.000	0.000	0
111491	0.000	0.000	0.000	0.000	0
111447	0.000	0.000	0.000	0.000	0
111442	0.000	0.000	0.000	0.000	0
111387	0.000	0.000	0.000	0.000	0
111310	0.000	0.000	0.000	0.026	2
111309	0.000	0.001	0.000	0.687	61
111299	0.000	0.000	0.000	0.115	14
111218	0.000	0.000	0.000	0.000	0
111184	0.000	0.000	0.000	0.001	0
111132	0.000	0.000	0.000	0.000	0
110900	0.000	0.000	0.000	0.024	1
110894	0.000	0.000	0.000	0.000	0
110831	0.000	0.000	0.000	0.005	1
110745	0.000	0.000	0.000	0.001	0
110718	0.000	0.000	0.000	0.756	27
110581	0.000	0.000	0.000	0.000	0
110481	0.000	0.000	0.000	0.001	0
110159	0.000	0.000	0.000	0.050	3
110157	0.000	0.000	0.000	0.000	0
110120	0.000	0.000	0.000	0.006	1
110005	0.000	0.000	0.000	0.000	0
109894	0.000	0.000	0.000	0.000	0
109874	0.000	0.000	0.000	0.000	0
109869	0.000	0.001	0.000	0.085	12
109820	0.000	0.000	0.000	0.008	2
109785	0.000	0.000	0.000	0.001	0
109740	0.000	0.000	0.000	0.000	0
109639	0.000	0.000	0.000	0.000	0
109584	0.000	0.000	0.000	0.001	0
109488	0.000	0.000	0.000	0.009	2
109413	0.000	0.000	0.000	0.000	0
109305	0.000	0.000	0.000	0.067	1
109204	0.000	0.000	0.000	0.191	11
109144	0.000	0.000	0.000	0.000	0
108984	0.000	0.000	0.000	0.000	0
108742	0.000	0.000	0.000	0.005	1
108701	0.000	0.003	0.000	0.583	48
108674	0.000	0.000	0.000	0.000	0
108647	0.000	0.000	0.000	0.000	0
108608	0.000	0.000	0.000	0.002	1
108607	0.000	0.005	0.000	4.458	14
108496	0.000	0.000	0.000	0.001	0
108477	0.000	0.000	0.000	0.046	2
108390	0.000	0.000	0.000	0.002	1
108299	0.000	0.000	0.000	0.071	1
108207	0.000	0.000	0.000	0.043	3
108200	0.000	0.000	0.000	0.011	1
108177	0.000	0.001	0.000	0.110	16
108175	0.000	0.000	0.000	0.000	0
108153	0.000	0.000	0.000	0.000	0
108095	0.000	0.003	0.000	4.183	50
108092	0.000	0.000	0.000	0.033	3
108036	0.000	0.000	0.000	0.001	0
107946	0.000	0.000	0.000	0.016	3
107903	0.000	0.000	0.000	0.000	0
107898	0.000	0.000	0.000	0.000	0
107804	0.000	0.000	0.000	0.000	0
107685	0.000	0.000	0.000	0.001	0
107627	0.000	0.001	0.000	0.050	5
107546	0.000	0.000	0.000	0.260	19
107533	0.000	0.000	0.000	0.055	3
107510	0.000	0.000	0.000	0.000	0
107384	0.000	0.000	0.000	0.000	0
107325	0.000	0.000	0.000	0.000	0
107292	0.000	0.000	0.000	0.000	0
107271	0.000	0.000	0.000	0.000	0
107248	0.000	0.000	0.000	0.130	5
107186	0.000	0.001	0.000	0.549	31
107163	0.000	0.001	0.000	1.864	23
106935	0.000	0.000	0.000	0.000	0
106927	0.000	0.003	0.000	3.455	8
106859	0.000	0.000	0.000	0.000	0
106798	0.000	0.000	0.000	0.000	0
106751	0.000	0.000	0.000	0.004	1
106718	0.000	0.000	0.000	0.000	0
106556	0.000	0.000	0.000	0.000	0
106459	0.000	0.000	0.000	0.002	0
106409	0.000	0.000	0.000	0.000	0
106271	0.000	0.000	0.000	0.000	0
106247	0.000	0.000	0.000	0.017	1
106175	0.000	0.000	0.000	0.003	0
106148	0.000	0.000	0.000	0.060	1
106108	0.000	0.000	0.000	0.000	0
106018	0.000	0.000	0.000	0.024	1
105963	0.000	0.000	0.000	0.002	1
105885	0.000	0.000	0.000	0.000	0
105836	0.000	0.000	0.000	0.000	0
105820	0.000	0.001	0.000	1.419	57
105803	0.000	0.000	0.000	0.082	1
105792	0.000	0.000	0.000	0.005	1
105768	0.000	0.000	0.000	0.000	0
105764	0.000	0.000	0.000	0.000	0
105705	0.000	0.000	0.000	0.030	1
105598	0.000	0.000	0.000	0.000	0
105518	0.000	0.000	0.000	0.000	0
105512	0.000	0.000	0.000	0.000	0
105507	0.000	0.003	0.000	2.847	13
105485	0.000	0.000	0.000	0.001	0
105468	0.000	0.000	0.000	0.010	2
105401	0.000	0.000	0.000	0.002	1
105389	0.000	0.000	0.000	0.406	20
105388	0.000	0.000	0.000	0.000	0
105378	0.000	0.000	0.000	0.006	1
105331	0.000	0.003	0.000	3.039	56
105113	0.000	0.000	0.000	0.001	0
105080	0.000	0.000	0.000	0.001	0
105005	0.000	0.000	0.000	0.000	0
104985	0.000	0.000	0.000	0.000	0
104979	0.000	0.000	0.000	0.003	1
104968	0.000	0.000	0.000	0.001	0
104601	0.000	0.000	0.000	0.000	0
104589	0.000	0.000	0.000	0.090	5
104410	0.000	0.008	0.000	13.612	62
104347	0.000	0.000	0.000	0.000	0
104232	0.000	0.000	0.000	0.000	0
104124	0.000	0.000	0.000	0.000	0
104059	0.000	0.000	0.000	0.015	1
104038	0.000	0.000	0.000	0.004	0
104012	0.000	0.000	0.000	0.000	0
103927	0.000	0.000	0.000	0.005	2
103909	0.000	0.000	0.000	0.000	0
103895	0.000	0.035	0.000	35.862	96
103890	0.000	0.000	0.000	0.000	0
103889	0.000	0.000	0.000	0.000	0
103792	0.000	0.003	0.000	5.322	25
103768	0.000	0.000	0.000	0.001	0
103663	0.000	0.000	0.000	0.287	6
103602	0.000	0.000	0.000	0.000	0
103473	0.000	0.000	0.000	0.056	1
103457	0.000	0.000	0.000	0.000	0
103327	0.000	0.000	0.000	0.003	1
103182	0.000	0.000	0.000	0.031	5
103005	0.000	0.000	0.000	0.000	0
102913	0.000	0.000	0.000	0.178	2
102811	0.000	0.000	0.000	0.000	0
102759	0.000	0.001	0.000	0.557	4
102676	0.000	0.000	0.000	0.000	0
102653	0.000	0.002	0.000	1.498	21
102599	0.000	0.000	0.000	0.000	0
102525	0.000	0.000	0.000	0.074	5
102490	0.000	0.000	0.000	0.000	0
102291	0.000	0.006	0.000	4.247	43
102270	0.000	0.000	0.000	0.001	0
102218	0.000	0.000	0.000	0.286	20
102195	0.000	0.000	0.000	0.000	0
102147	0.000	0.000	0.000	0.008	1
102144	0.000	0.004	0.000	4.695	16
102127	0.000	0.000	0.000	0.000	0
102108	0.000	0.000	0.000	0.001	0
102090	0.000	0.000	0.000	0.000	0
102062	0.000	0.000	0.000	0.000	0
102003	0.000	0.000	0.000	0.000	0
101923	0.000	0.000	0.000	0.000	0
101919	0.000	0.000	0.000	0.000	0
101917	0.000	0.000	0.000	0.013	2
101861	0.000	0.000	0.000	0.000	0
101819	0.000	0.000	0.000	0.000	0
101804	0.000	0.000	0.000	0.000	0
101628	0.000	0.000	0.000	0.000	0
101618	0.000	0.000	0.000	0.000	0
101483	0.000	0.000	0.000	0.002	0
101461	0.000	0.000	0.000	0.001	0
101450	0.000	0.005	0.000	0.972	8
101425	0.000	0.000	0.000	0.017	2
101398	0.000	0.000	0.000	0.000	0
101281	0.000	0.000	0.000	0.001	0
101276	0.000	0.000	0.000	0.042	5
101274	0.000	0.000	0.000	0.078	8
101267	0.000	0.000	0.000	0.000	0
101169	0.000	0.000	0.000	0.001	0
101097	0.000	0.000	0.000	0.000	0
101085	0.000	0.000	0.000	0.001	0
101066	0.000	0.000	0.000	0.002	0
101057	0.000	0.000	0.000	0.000	0
101039	0.000	0.000	0.000	0.000	0
101035	0.000	0.001	0.000	1.049	15
101007	0.000	0.000	0.000	0.000	0
100987	0.000	0.000	0.000	0.000	0
100881	0.000	0.011	0.000	2.662	27
100828	0.000	0.000	0.000	0.000	0
100791	0.000	0.001	0.000	1.601	8
100788	0.000	0.000	0.000	0.000	0
100775	0.000	0.000	0.000	0.000	0
100764	0.000	0.001	0.000	0.005	1
100763	0.000	0.000	0.000	0.000	0
100742	0.000	0.000	0.000	0.000	0
100722	0.000	0.000	0.000	0.000	0
100697	0.000	0.000	0.000	0.000	0
100672	0.000	0.000	0.000	0.029	1
100596	0.000	0.000	0.000	0.000	0
100592	0.000	0.000	0.000	0.073	4
100586	0.000	0.000	0.000	0.000	0
100571	0.000	0.018	0.000	11.921	69
100560	0.000	0.000	0.000	0.000	0
100555	0.000	0.000	0.000	0.002	0
100533	0.000	0.004	0.000	0.475	9
100528	0.000	0.000	0.000	0.000	0
100523	0.000	0.000	0.000	0.000	0
100520	0.000	0.000	0.000	0.000	0
100515	0.000	0.024	0.000	3.720	66
100501	0.000	0.000	0.000	0.000	0
100476	0.000	0.000	0.000	0.000	0
100460	0.000	0.023	0.000	3.259	38
100456	0.000	0.087	0.000	113.619	111
100448	0.000	0.000	0.000	0.000	0
100447	0.000	0.001	0.000	0.094	10
100420	0.000	0.000	0.000	0.000	0
100418	0.000	0.000	0.000	0.049	6
100381	0.000	0.000	0.000	0.000	0
100378	0.000	0.003	0.000	0.169	9
100355	0.000	0.000	0.000	0.001	0
100350	0.000	0.001	0.000	0.134	3
100327	0.000	0.000	0.000	0.000	0
100323	0.000	0.078	0.000	62.125	116
100315	0.000	0.000	0.000	0.002	0
100301	0.000	0.000	0.000	0.000	0
100291	0.000	0.002	0.000	0.031	1
100255	0.000	0.000	0.000	0.000	0
100250	0.000	0.000	0.000	0.005	1
100248	0.000	0.002	0.000	0.228	18
100239	0.000	0.000	0.000	0.001	0
100214	0.000	0.000	0.000	0.000	0
100213	0.000	0.000	0.000	0.000	0
100199	0.000	0.004	0.000	0.171	3
100195	0.000	0.000	0.000	0.000	0
100194	0.000	0.001	0.000	0.002	0
100170	0.000	0.000	0.000	0.002	0
100160	0.000	0.000	0.000	0.000	0
100157	0.000	0.000	0.000	0.000	0
100145	0.000	0.000	0.000	0.068	7
100142	0.000	0.000	0.000	0.000	0
100137	0.000	0.004	0.000	0.446	4
100131	0.000	0.000	0.000	0.007	2
100122	0.000	0.288	0.000	72.592	144
100119	0.000	0.000	0.000	0.000	0
100108	0.000	0.000	0.000	0.007	2
100102	0.000	0.000	0.000	0.001	0
100090	0.000	0.000	0.000	0.000	0
100085	0.000	0.000	0.000	0.027	3
100079	0.000	0.000	0.000	0.001	0
100056	0.000	0.000	0.000	0.001	0
100053	0.000	0.010	0.000	2.035	10
100051	0.000	0.000	0.000	0.004	1
100038	0.000	0.000	0.000	0.000	0
100032	0.000	0.000	0.000	0.018	3
100024	0.000	0.005	0.000	0.165	11
100021	0.000	0.006	0.000	0.002	0
100020	0.000	0.009	0.000	0.013	2
100013	0.000	0.000	0.000	0.000	0
100011	0.000	0.000	0.000	0.000	0
100009	0.000	0.002	0.000	0.094	1
100007	0.000	0.002	0.000	0.000	0
100005	0.000	0.000	0.000	0.000	0
100003	0.000	0.004	0.000	0.000	0
100002	0.000	0.005	0.000	0.002	0
100001	0.000	0.000	0.000	0.000	0
